指标,国房景气指数
Jan-99,98.58
Feb-99,98.78
Mar-99,98.78
Apr-99,98.51
May-99,98.17
Jun-99,97.97
Jul-99,98.01
Aug-99,98.23
Sep-99,98.52
Oct-99,98.65
Nov-99,98.55
Dec-99,98.37
Jan-00,98.27
Feb-00,98.31
Mar-00,98.58
Apr-00,98.98
May-00,99.37
Jun-00,99.76
Jul-00,100.12
Aug-00,100.44
Sep-00,100.74
Oct-00,101.18
Nov-00,101.77
Dec-00,102.48
Jan-01,103.21
Feb-01,103.87
Mar-01,104.38
Apr-01,104.75
May-01,105.03
Jun-01,105.18
Jul-01,105.16
Aug-01,104.98
Sep-01,104.69
Oct-01,104.35
Nov-01,103.96
Dec-01,103.54
Jan-02,103.1
Feb-02,102.75
Mar-02,102.57
Apr-02,102.51
May-02,102.45
Jun-02,102.38
Jul-02,102.4
Aug-02,102.54
Sep-02,102.78
Oct-02,103.01
Nov-02,103.19
Dec-02,103.37
Jan-03,103.65
Feb-03,103.94
Mar-03,104.15
Apr-03,104.3
May-03,104.46
Jun-03,104.62
Jul-03,104.68
Aug-03,104.59
Sep-03,104.45
Oct-03,104.57
Nov-03,105.13
Dec-03,105.94
Jan-04,106.52
Feb-04,106.57
Mar-04,106.12
Apr-04,105.46
May-04,104.96
Jun-04,104.73
Jul-04,104.7
Aug-04,104.83
Sep-04,104.98
Oct-04,104.91
Nov-04,104.5
Dec-04,103.81
Jan-05,103.05
Feb-05,102.48
Mar-05,102.43
Apr-05,102.26
May-05,102.17
Jun-05,102.08
Jul-05,101.97
Aug-05,101.76
Sep-05,101.42
Oct-05,101.02
Nov-05,100.69
Dec-05,100.61
Jan-06,100.76
Feb-06,101.05
Mar-06,101.46
Apr-06,101.61
May-06,101.87
Jun-06,102.93
Jul-06,103.51
Aug-06,103.31
Sep-06,103.14
Oct-06,103.4
Nov-06,103.92
Dec-06,102.96
Jan-07,102.42
Feb-07,101.78
Mar-07,101.22
Apr-07,102.65
May-07,103.32
Jun-07,103.63
Jul-07,104
Aug-07,104.48
Sep-07,104.99
Oct-07,105.74
Nov-07,106.59
Dec-07,106.45
Jan-08,106.11
Feb-08,105.55
Mar-08,104.72
Apr-08,104.07
May-08,103.34
Jun-08,103.08
Jul-08,102.36
Aug-08,101.78
Sep-08,101.15
Oct-08,99.68
Nov-08,98.46
Dec-08,96.46
Jan-09,
Feb-09,94.86
Mar-09,94.74
Apr-09,94.76
May-09,95.94
Jun-09,96.55
Jul-09,98.01
Aug-09,100.08
Sep-09,101.08
Oct-09,102.03
Nov-09,102.78
Dec-09,103.66
Jan-10,
Feb-10,105.47
Mar-10,105.89
Apr-10,105.66
May-10,105.07
Jun-10,105.06
Jul-10,104.72
Aug-10,104.11
Sep-10,103.52
Oct-10,103.57
Nov-10,103.2
Dec-10,101.79
Jan-11,
Feb-11,102.9
Mar-11,102.98
Apr-11,103.19
May-11,103.2
Jun-11,101.75
Jul-11,101.5
Aug-11,101.12
Sep-11,100.41
Oct-11,100.27
Nov-11,99.87
Dec-11,98.89
Jan-12,
Feb-12,97.89
Mar-12,96.92
Apr-12,95.62
May-12,94.9
Jun-12,94.71
Jul-12,94.57
Aug-12,94.64
Sep-12,94.39
Oct-12,94.56
Nov-12,95.71
Dec-12,95.59
Jan-13,
Feb-13,97.92
Mar-13,97.56
Apr-13,97.35
May-13,97.26
Jun-13,97.29
Jul-13,97.39
Aug-13,97.29
Sep-13,97.25
Oct-13,96.88
Nov-13,96.38
Dec-13,97.21
Jan-14,
Feb-14,96.91
Mar-14,96.4
Apr-14,95.79
May-14,95.02
Jun-14,94.84
Jul-14,94.82
Aug-14,94.79
Sep-14,94.72
Oct-14,94.76
Nov-14,94.3
Dec-14,93.93
Jan-15,
Feb-15,93.77
Mar-15,93.11
Apr-15,92.56
May-15,92.43
Jun-15,92.63
Jul-15,93.03
Aug-15,93.46
Sep-15,93.4
Oct-15,93.34
Nov-15,93.35
Dec-15,93.34
Jan-16,
Feb-16,99.18
Mar-16,100.29
Apr-16,100.59
May-16,100.57
Jun-16,100.94
Jul-16,100.37
Aug-16,100.4
Sep-16,100.55
Oct-16,100.75
Nov-16,100.86
Dec-16,101.01
Jan-17,100.76
Feb-17,100.78
Mar-17,101.13
Apr-17,101.23
May-17,101.18
Jun-17,101.37
Jul-17,101.42
Aug-17,101.42
Sep-17,101.44
Oct-17,101.49
Nov-17,101.63
Dec-17,101.72
